price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
310000,3,1,1430,19901,1.5,0,0,4,7,1430,0,1927,0,98028,47.7558,-122.229,1780,12697
650000,4,3,2950,5000,2,0,3,3,9,1980,970,1979,0,98126,47.5714,-122.375,2140,4000
233000,3,2,1710,4697,1.5,0,0,5,6,1710,0,1941,0,98002,47.3048,-122.218,1030,4705
580500,3,2.5,2320,3980,2,0,0,3,8,2320,0,2003,0,98027,47.5391,-122.07,2580,3980
535000,3,1,1090,3000,1.5,0,0,4,8,1090,0,1929,0,98117,47.6889,-122.375,1570,5080
605000,4,2.5,2620,7553,2,0,0,3,8,2620,0,1996,0,98056,47.5301,-122.18,2620,11884
775000,4,2.25,4220,24186,1,0,0,3,8,2600,1620,1984,0,98166,47.445,-122.347,2410,30617
292500,4,2.5,2250,4495,2,0,0,3,7,2250,0,2008,0,98042,47.3663,-122.114,2250,4500
289000,3,1.75,1260,8400,1,0,0,3,7,1260,0,1954,0,98148,47.4366,-122.335,1290,8750
571000,4,2,2750,7807,1.5,0,0,5,7,2250,500,1916,0,98125,47.7168,-122.287,1510,7807
349000,3,1.75,1790,50529,1,0,0,5,7,1090,700,1965,0,98042,47.3511,-122.073,1940,50529
360000,4,2.5,1900,5889,2,0,0,3,7,1900,0,1992,0,98038,47.349,-122.031,1870,6405
243500,4,2.5,1980,7403,2,0,0,3,7,1980,0,1988,0,98023,47.2897,-122.372,1980,7510
247500,3,1.75,1960,15681,1,0,0,3,7,1960,0,1967,0,98032,47.3576,-122.277,1750,15616
470000,5,1.75,2030,12342,2,0,0,4,7,2030,0,1942,0,98052,47.6417,-122.109,2500,9433
480000,4,2.5,3230,16171,2,0,3,3,9,2520,710,2001,0,98001,47.3183,-122.253,2640,8517
770000,3,2.25,2910,10204,2,0,0,3,9,2910,0,1990,0,98052,47.6897,-122.098,2700,13992
519950,3,2.25,1170,1249,3,0,0,3,8,1170,0,2014,0,98107,47.6722,-122.381,1350,1310
527700,5,2.5,2820,9375,1,0,0,4,8,1550,1270,1968,0,98006,47.5707,-122.128,2820,9375
420000,3,1,1060,8097,1,0,0,4,7,940,120,1923,0,98133,47.7144,-122.351,1560,7940
890000,4,1,2550,4000,2,0,0,3,8,2370,180,1905,0,98109,47.6354,-122.353,2200,4000
282950,3,1,1250,8200,1,0,0,4,7,1250,0,1954,0,98003,47.3255,-122.304,1680,8633
255000,5,2.25,2060,8632,1,0,0,3,7,1030,1030,1962,0,98146,47.4877,-122.335,1010,11680
420000,3,2,2020,38332,1,0,0,4,7,1010,1010,1975,0,98027,47.4582,-122.023,2110,36590
807100,4,2.5,2680,4499,2,0,0,3,9,2680,0,1999,0,98006,47.565,-122.125,2920,4500
284000,3,1.75,1560,21000,1,0,0,3,7,1560,0,1954,0,98166,47.4776,-122.337,1070,7920
917500,4,2.5,3880,35003,2,0,0,3,10,2570,1310,1984,0,98033,47.6477,-122.182,3740,35230
425000,3,2.5,1120,1100,2,0,0,3,8,820,300,2008,0,98122,47.6106,-122.31,1590,1795
260000,3,2.5,1670,5797,2,0,0,3,7,1670,0,1988,0,98030,47.3505,-122.179,1670,6183
